Run,Lambda,R_all,P_cong,Packets
1,0.1,0.899911,0.0,1000000
1,0.2,0.899957,0.0,1000000
1,0.3,0.900404,0.0,1000000
1,0.4,0.900076,7.999984000032e-06,1000000
1,0.5,0.878908,0.02377097622902377,1000000
1,0.6,0.744146,0.17309648071055786,1000000
1,0.7,0.638405,0.2903254193491613,1000000
1,0.8,0.558941,0.37886524226951546,1000000
1,0.9,0.498566,0.44577466267601196,1000000
1,1.0,0.45061,0.4991245026264921,1000000
2,0.1,0.900016,0.0,1000000
2,0.2,0.900751,0.0,1000000
2,0.3,0.900029,0.0,1000000
2,0.4,0.899899,0.0,1000000
2,0.5,0.8916,0.009528980942038115,1000000
2,0.6,0.746835,0.170777487667537,1000000
2,0.7,0.63907,0.2900081299756101,1000000
2,0.8,0.560481,0.3777152445695109,1000000
2,0.9,0.499872,0.4448301103397793,1000000
3,11000.0,0.813934,0.09575871272386183,1000000
3,13000.0,0.686832,0.23696352607294785,1000000
3,15000.0,0.595904,0.33798932402135196,1000000
3,17000.0,0.52724,0.4139581720836558,1000000
3,19000.0,0.473743,0.47364957905126287,1000000
4,11000.0,0.816117,0.09325090674909325,1000000
4,13000.0,0.687147,0.23620229139312582,1000000
4,15000.0,0.596056,0.3374156625843374,1000000
4,17000.0,0.527514,0.4137785862214138,1000000
4,19000.0,0.473513,0.4735375793872618,1000000
