Run,Lambda,R_all,P_cong,Packets
1,0.25,0.864226,0.0,1000000
1,0.45,0.864107,0.0,1000000
1,0.65,0.733227,0.11847436207184939,1000000
1,0.85,0.694575,0.16619719690207124,1000000
1,1.05,0.546096,0.31728183714301494,1000000
1,1.25,0.323297,0.5869327186819142,1000000
1,1.45,0.306851,0.5959156304235357,1000000
1,1.65,0.285411,0.6119124306077749,1000000
1,1.85,0.203125,0.6943182686743173,1000000
1,2.05,0.391191,0.5503970869210657,1000000
1,2.25,0.230246,0.7031145729112027,1000000
1,2.45,0.09009,0.8996561656723566,1000000
