Run,Lambda,R_all,P_cong,Packets
1,0.25,0.864057,0.13594286405713593,1000000
1,0.45,0.86397,0.13602945588217646,1000000
1,0.65,0.715558,0.2844061648232323,1000000
1,0.85,0.575249,0.42469706347293895,1000000
1,1.05,0.478003,0.5218508817531091,1000000
1,1.25,0.387143,0.6126750355144522,1000000
1,1.45,0.326026,0.6737759098824946,1000000
1,1.65,0.282498,0.7172882481020656,1000000
1,1.85,0.250841,0.748935068414544,1000000
1,2.05,0.224752,0.7750139457883719,1000000
1,2.25,0.204069,0.7956938832227997,1000000
1,2.45,0.188249,0.8115091702672603,1000000
